Name,Size / Usage,Context,Input,Digest,Updated,source,size_gb
granite-embedding:30m-english-q4_K_M,30MB,512,Text,772f63cb8959,1 year ago,ibm\granite-embedding.csv,0.029296875
granite-embedding:30m-english-q8_0,34MB,512,Text,b00a80937371,1 year ago,ibm\granite-embedding.csv,0.033203125
granite-embedding:30m,63MB,512,Text,eb4c533ba6f7,1 year ago,granite\granite-embedding.csv,0.0615234375
granite-embedding:30m-en,63MB,512,Text,eb4c533ba6f7,1 year ago,granite\granite-embedding.csv,0.0615234375
granite-embedding:30m-english-f16,63MB,512,Text,96e3c340e259,1 year ago,ibm\granite-embedding.csv,0.0615234375
granite-embedding:latest,63MB,512,Text,eb4c533ba6f7,1 year ago,granite\granite-embedding.csv,0.0615234375
granite-embedding:30m-en-fp16,63MB,512,Text,eb4c533ba6f7,1 year ago,granite\granite-embedding.csv,0.0615234375
granite-embedding:30m,63MB,512,Text,96e3c340e259,1 year ago,ibm\granite-embedding.csv,0.0615234375
granite-embedding:125m-english-q4_K_M,88MB,512,Text,9f919db9aa33,1 year ago,ibm\granite-embedding.csv,0.0859375
granite-embedding:107m-multilingual-q4_K_M,117MB,512,Text,68dc42680429,1 year ago,ibm\granite-embedding.csv,0.1142578125
granite-embedding:107m-multilingual-q8_0,121MB,512,Text,4b7625a1e347,1 year ago,ibm\granite-embedding.csv,0.1181640625
granite-embedding:125m-english-q8_0,135MB,512,Text,2375dd6b7253,1 year ago,ibm\granite-embedding.csv,0.1318359375
granite4:350m-h-base-q2_K,160MB,1M,Text,8ebc2d29ab98,10 months ago,ibm\granite4.csv,0.15625
granite4:350m-h-q2_K,160MB,1M,Text,095c6a011c36,10 months ago,ibm\granite4.csv,0.15625
granite4:350m-base-q2_K,181MB,32K,Text,c6b51e1b6648,10 months ago,ibm\granite4.csv,0.1767578125
granite4:350m-q2_K,181MB,32K,Text,4388094af88e,10 months ago,ibm\granite4.csv,0.1767578125
granite4:350m-h-q3_K_S,181MB,1M,Text,e376efd6da33,10 months ago,ibm\granite4.csv,0.1767578125
granite4:350m-h-base-q3_K_S,181MB,1M,Text,238f8ab7cce4,10 months ago,ibm\granite4.csv,0.1767578125
granite4:350m-h-q3_K_M,189MB,1M,Text,eca5dfd0dd8d,10 months ago,ibm\granite4.csv,0.1845703125
granite4:350m-h-base-q3_K_M,189MB,1M,Text,479207290be7,10 months ago,ibm\granite4.csv,0.1845703125
granite4:350m-h-base-q3_K_L,195MB,1M,Text,44c4aecd6f23,10 months ago,ibm\granite4.csv,0.1904296875
granite4:350m-q3_K_S,195MB,32K,Text,8e8f22f173de,10 months ago,ibm\granite4.csv,0.1904296875
granite4:350m-h-q3_K_L,195MB,1M,Text,ece1ad8bbde4,10 months ago,ibm\granite4.csv,0.1904296875
granite4:350m-base-q3_K_S,195MB,32K,Text,229dfb8c5522,10 months ago,ibm\granite4.csv,0.1904296875
granite4:350m-q3_K_M,208MB,32K,Text,f6f52d09dec5,10 months ago,ibm\granite4.csv,0.203125
granite4:350m-base-q3_K_M,208MB,32K,Text,2ac9fd2e0bc1,10 months ago,ibm\granite4.csv,0.203125
granite4:350m-h-base-q4_0,216MB,1M,Text,5e6fe39f6a5a,10 months ago,ibm\granite4.csv,0.2109375
granite4:350m-h-q4_0,216MB,1M,Text,b44a3d784081,10 months ago,ibm\granite4.csv,0.2109375
granite4:350m-h-base-q4_K_S,217MB,1M,Text,211ccef1e12f,10 months ago,ibm\granite4.csv,0.2119140625
granite4:350m-h-q4_K_S,217MB,1M,Text,4e601bfba0f9,10 months ago,ibm\granite4.csv,0.2119140625
granite-embedding:278m-multilingual-q4_K_M,219MB,512,Text,8afb0d9ae98c,1 year ago,ibm\granite-embedding.csv,0.2138671875
granite4:350m-q3_K_L,220MB,32K,Text,69bdc42d48f8,10 months ago,ibm\granite4.csv,0.21484375
granite4:350m-base-q3_K_L,220MB,32K,Text,573aad6445be,10 months ago,ibm\granite4.csv,0.21484375
granite-embedding:107m-multilingual-f16,221MB,512,Text,a15914a3ec39,1 year ago,ibm\granite-embedding.csv,0.2158203125
granite-embedding:107m,221MB,512,Text,a15914a3ec39,1 year ago,ibm\granite-embedding.csv,0.2158203125
granite4:350m-h-base-q4_K_M,223MB,1M,Text,3c0ab17eee9e,10 months ago,ibm\granite4.csv,0.2177734375
granite4:350m-h-q4_K_M,223MB,1M,Text,c1212b660941,10 months ago,ibm\granite4.csv,0.2177734375
granite4:350m-q4_0,228MB,32K,Text,605debddea6e,10 months ago,ibm\granite4.csv,0.22265625
granite4:350m-base-q4_0,228MB,32K,Text,36807bf6ab92,10 months ago,ibm\granite4.csv,0.22265625
granite4:350m-q4_K_S,229MB,32K,Text,224435010cf5,10 months ago,ibm\granite4.csv,0.2236328125
granite4:350m-base-q4_K_S,229MB,32K,Text,c491c3e10202,10 months ago,ibm\granite4.csv,0.2236328125
granite4:350m-h-base-q4_1,233MB,1M,Text,a763c30ad1d5,10 months ago,ibm\granite4.csv,0.2275390625
granite4:350m-h-q4_1,233MB,1M,Text,597cd01d0b83,10 months ago,ibm\granite4.csv,0.2275390625
granite4:350m-base-q4_K_M,237MB,32K,Text,9ac9d157eada,10 months ago,ibm\granite4.csv,0.2314453125
granite4:350m-q4_K_M,237MB,32K,Text,9b0e22699cc4,10 months ago,ibm\granite4.csv,0.2314453125
embeddinggemma:300m-qat-q4_0,239MB,2K,Text,101341d65c2c,12 months ago,gemma\embeddinggemma.csv,0.2333984375
gemma3:270m-it-qat,241MB,32K,Text,b16d6d39dfbd,1 year ago,gemma\gemma3.csv,0.2353515625
granite4:350m-base-q4_1,244MB,32K,Text,906025147b1b,10 months ago,ibm\granite4.csv,0.23828125
granite4:350m-q4_1,244MB,32K,Text,d64cc0cd6765,10 months ago,ibm\granite4.csv,0.23828125
granite4:350m-h-base-q5_0,249MB,1M,Text,a0deba5c7f45,10 months ago,ibm\granite4.csv,0.2431640625
granite4:350m-h-q5_K_S,249MB,1M,Text,ab20a438de09,10 months ago,ibm\granite4.csv,0.2431640625
granite4:350m-h-base-q5_K_S,249MB,1M,Text,145747056d3e,10 months ago,ibm\granite4.csv,0.2431640625
granite4:350m-h-q5_0,249MB,1M,Text,b2d1e545e535,10 months ago,ibm\granite4.csv,0.2431640625
granite-embedding:125m,251MB,512,Text,da69d7b4a7fe,1 year ago,ibm\granite-embedding.csv,0.2451171875
granite-embedding:125m-english-f16,251MB,512,Text,da69d7b4a7fe,1 year ago,ibm\granite-embedding.csv,0.2451171875
granite4:350m-h-base-q5_K_M,252MB,1M,Text,78ee04b78898,10 months ago,ibm\granite4.csv,0.24609375
granite4:350m-h-q5_K_M,252MB,1M,Text,5b6eaf05f3b1,10 months ago,ibm\granite4.csv,0.24609375
granite4:350m-base-q5_0,260MB,32K,Text,2e297eed9623,10 months ago,ibm\granite4.csv,0.25390625
granite4:350m-q5_K_S,260MB,32K,Text,cb191bbc0b2c,10 months ago,ibm\granite4.csv,0.25390625
granite4:350m-base-q5_K_S,260MB,32K,Text,16c442bbb92b,10 months ago,ibm\granite4.csv,0.25390625
granite4:350m-q5_0,260MB,32K,Text,a5348aa46c6d,10 months ago,ibm\granite4.csv,0.25390625
granite4:350m-q5_K_M,264MB,32K,Text,e342e0b9940f,10 months ago,ibm\granite4.csv,0.2578125
granite4:350m-base-q5_K_M,264MB,32K,Text,aa94f2db6668,10 months ago,ibm\granite4.csv,0.2578125
granite4:350m-h-q5_1,265MB,1M,Text,2f4731153821,10 months ago,ibm\granite4.csv,0.2587890625
granite4:350m-h-base-q5_1,265MB,1M,Text,8ca7d5740458,10 months ago,ibm\granite4.csv,0.2587890625
granite4:350m-base-q5_1,275MB,32K,Text,548757aaefbe,10 months ago,ibm\granite4.csv,0.2685546875
granite4:350m-q5_1,275MB,32K,Text,3df269de717b,10 months ago,ibm\granite4.csv,0.2685546875
granite4:350m-h-q6_K,284MB,1M,Text,52b034b7886b,10 months ago,ibm\granite4.csv,0.27734375
granite4:350m-h-base-q6_K,284MB,1M,Text,7923e6cdd952,10 months ago,ibm\granite4.csv,0.27734375
gemma3:270m-it-q8_0,292MB,32K,Text,e7d36fb2c3b3,1 year ago,gemma\gemma3.csv,0.28515625
gemma3:270m,292MB,32K,Text,e7d36fb2c3b3,1 year ago,gemma\gemma3.csv,0.28515625
granite4:350m-base-q6_K,293MB,32K,Text,c6e2f1a19d96,10 months ago,ibm\granite4.csv,0.2861328125
granite4:350m-q6_K,293MB,32K,Text,ce994e52918f,10 months ago,ibm\granite4.csv,0.2861328125
qwen:0.5b-chat-v1.5-q2_K,298MB,32K,Text,a16189bc79c0,2 years ago,qwen\qwen.csv,0.291015625
qwen:0.5b-text-v1.5-q2_K,298MB,32K,Text,6be7d85c1f37,2 years ago,qwen\qwen.csv,0.291015625
functiongemma:270m,301MB,32K,Text,7c19b650567a,8 months ago,gemma\functiongemma.csv,0.2939453125
functiongemma:270m-it-q8_0,301MB,32K,Text,7c19b650567a,8 months ago,gemma\functiongemma.csv,0.2939453125
functiongemma:latest,301MB,32K,Text,7c19b650567a,8 months ago,gemma\functiongemma.csv,0.2939453125
granite-embedding:278m-multilingual-q8_0,303MB,512,Text,c85c901b9611,1 year ago,ibm\granite-embedding.csv,0.2958984375
qwen:0.5b-chat-v1.5-q3_K_S,333MB,32K,Text,0bcee5f34ad7,2 years ago,qwen\qwen.csv,0.3251953125
qwen:0.5b-text-v1.5-q3_K_S,333MB,32K,Text,37eeb0d10fd8,2 years ago,qwen\qwen.csv,0.3251953125
qwen2.5:0.5b-base-q3_K_S,338MB,32K,Text,cf1fe7a28bac,1 year ago,qwen\qwen2.5.csv,0.330078125
qwen2.5-coder:0.5b-instruct-q3_K_S,338MB,32K,Text,8bb2ad3ffe61,1 year ago,qwen\qwen2.5-coder.csv,0.330078125
qwen2.5:0.5b-instruct-q3_K_S,338MB,32K,Text,2b61ae1bb74f,1 year ago,qwen\qwen2.5.csv,0.330078125
embeddinggemma:300m-qat-q8_0,338MB,2K,Text,e84a7acc2394,12 months ago,gemma\embeddinggemma.csv,0.330078125
qwen2.5-coder:0.5b-base-q3_K_S,338MB,32K,Text,e422e12f737e,1 year ago,qwen\qwen2.5-coder.csv,0.330078125
qwen2:0.5b-instruct-q3_K_S,338MB,32K,Text,ae41a13fd9b2,2 years ago,qwen\qwen2.csv,0.330078125
qwen2.5-coder:0.5b-instruct-q2_K,339MB,32K,Text,76b5ba6f676e,1 year ago,qwen\qwen2.5-coder.csv,0.3310546875
qwen2.5:0.5b-instruct-q2_K,339MB,32K,Text,fa66a85e7fe2,1 year ago,qwen\qwen2.5.csv,0.3310546875
qwen2.5-coder:0.5b-base-q2_K,339MB,32K,Text,d31a8a24175b,1 year ago,qwen\qwen2.5-coder.csv,0.3310546875
qwen2.5:0.5b-base-q2_K,339MB,32K,Text,b439066a7c50,1 year ago,qwen\qwen2.5.csv,0.3310546875
qwen2:0.5b-instruct-q2_K,339MB,32K,Text,06dda8c1519a,2 years ago,qwen\qwen2.csv,0.3310546875
qwen:0.5b-text-v1.5-q3_K_M,350MB,32K,Text,7b641307e2fe,2 years ago,qwen\qwen.csv,0.341796875
qwen:0.5b-chat-v1.5-q3_K_M,350MB,32K,Text,b18e5c255a90,2 years ago,qwen\qwen.csv,0.341796875
qwen2.5:0.5b-instruct-q4_0,352MB,32K,Text,44deb286b008,1 year ago,qwen\qwen2.5.csv,0.34375
qwen2.5-coder:0.5b-instruct-q4_0,352MB,32K,Text,563b972026e4,1 year ago,qwen\qwen2.5-coder.csv,0.34375
qwen2:0.5b,352MB,32K,Text,6f48b936a09f,2 years ago,qwen\qwen2.csv,0.34375
qwen2.5:0.5b-base-q4_0,352MB,32K,Text,a990247b9c63,1 year ago,qwen\qwen2.5.csv,0.34375
qwen2:0.5b-instruct,352MB,32K,Text,6f48b936a09f,2 years ago,qwen\qwen2.csv,0.34375
qwen2.5-coder:0.5b-base-q4_0,352MB,32K,Text,5b162945dc3f,1 year ago,qwen\qwen2.5-coder.csv,0.34375
qwen2:0.5b-instruct-q4_0,352MB,32K,Text,6f48b936a09f,2 years ago,qwen\qwen2.csv,0.34375
qwen2:0.5b-instruct-q3_K_M,355MB,32K,Text,2adbb16f0a5d,2 years ago,qwen\qwen2.csv,0.3466796875
qwen2.5:0.5b-base-q3_K_M,355MB,32K,Text,2b0f4078dcc1,1 year ago,qwen\qwen2.5.csv,0.3466796875
qwen2.5-coder:0.5b-base-q3_K_M,355MB,32K,Text,2f339fd12a48,1 year ago,qwen\qwen2.5-coder.csv,0.3466796875
qwen2.5-coder:0.5b-instruct-q3_K_M,355MB,32K,Text,bfa544a4a1e4,1 year ago,qwen\qwen2.5-coder.csv,0.3466796875
qwen2.5:0.5b-instruct-q3_K_M,355MB,32K,Text,a1b962ae1ffb,1 year ago,qwen\qwen2.5.csv,0.3466796875
qwen:0.5b-text-v1.5-q3_K_L,364MB,32K,Text,49837f2c5b03,2 years ago,qwen\qwen.csv,0.35546875
